periodo,estu_genero,cole_area_ubicacion,cole_bilingue,cole_naturaleza,cole_jornada,cole_caracter,cole_depto_ubicacion,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,punt_global,punt_matematicas,punt_lectura_critica,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles
20224,F,URBANO,N,OFICIAL,SABATINA,ACADÉMICO,CHOCO,Estrato 1,Primaria completa,No Aplica,1 a 2,Si,No,No,No,193,35,48,38,33,39.0
20224,F,RURAL,N,OFICIAL,MAÑANA,ACADÉMICO,NARIÑO,Estrato 1,Primaria completa,Primaria completa,5 a 6,No,No,No,No,286,56,60,58,57,51.0
20224,F,URBANO,N,OFICIAL,TARDE,ACADÉMICO,LA GUAJIRA,Estrato 1,Técnica o tecnológica completa,No sabe,5 a 6,No,No,Si,Si,252,40,56,52,56,44.0
20224,F,URBANO,N,OFICIAL,COMPLETA,ACADÉMICO,BOYACA,Estrato 1,Primaria completa,Primaria completa,3 a 4,No,No,No,No,257,49,60,51,46,49.0
20224,M,URBANO,N,OFICIAL,NOCHE,ACADÉMICO,ANTIOQUIA,Estrato 4,Primaria completa,Primaria completa,3 a 4,No,No,No,Si,189,40,46,32,35,33.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,BOGOTÁ,Estrato 2,Secundaria (Bachillerato) completa,No Aplica,9 o más,No,Si,Si,No,236,39,60,46,44,47.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,BOGOTÁ,Sin Estrato,Educación profesional incompleta,No sabe,5 a 6,Si,Si,Si,Si,348,71,67,68,62,100.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CAUCA,Estrato 1,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,3 a 4,No,No,No,No,228,45,49,47,41,46.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,BOYACA,Estrato 1,Primaria incompleta,Primaria incompleta,3 a 4,No,No,No,No,231,52,39,50,46,39.0
20224,M,RURAL,N,NO OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 2,Secundaria (Bachillerato) completa,Primaria incompleta,1 a 2,No,Si,Si,Si,312,63,66,58,63,60.0
20224,F,URBANO,N,OFICIAL,TARDE,TÉCNICO,VALLE,Estrato 2,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,3 a 4,No,Si,Si,Si,283,50,70,51,53,65.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO,CAUCA,Estrato 3,Primaria incompleta,Primaria incompleta,3 a 4,No,Si,Si,Si,193,36,47,40,29,46.0
20224,M,RURAL,N,OFICIAL,MAÑANA,ACADÉMICO,CORDOBA,Sin Estrato,Secundaria (Bachillerato) completa,Educación profesional completa,3 a 4,No,No,No,No,165,38,33,33,26,38.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,TOLIMA,Estrato 1,Primaria incompleta,No sabe,5 a 6,No,No,No,No,280,54,57,56,62,40.0
20224,F,URBANO,N,OFICIAL,UNICA,ACADÉMICO,ANTIOQUIA,Estrato 2,Primaria incompleta,Primaria incompleta,3 a 4,No,Si,Si,No,272,50,59,57,52,54.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 6,Postgrado,Educación profesional completa,3 a 4,Si,Si,Si,Si,322,69,67,56,59,85.0
20224,M,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,VALLE,Estrato 2,Técnica o tecnológica completa,Secundaria (Bachillerato) incompleta,1 a 2,Si,Si,Si,Si,276,52,53,62,54,54.0
20224,F,RURAL,N,OFICIAL,UNICA,TÉCNICO,NORTE SANTANDER,Estrato 5,Primaria completa,Primaria incompleta,5 a 6,No,No,Si,Si,177,33,36,43,27,43.0
20224,F,URBANO,N,NO OFICIAL,SABATINA,ACADÉMICO,HUILA,Estrato 1,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,5 a 6,No,Si,Si,Si,233,55,58,38,37,41.0
20224,M,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,ATLANTICO,Estrato 3,No sabe,Técnica o tecnológica incompleta,7 a 8,Si,Si,Si,Si,358,75,68,72,70,76.0
20224,M,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,LA GUAJIRA,Estrato 6,Educación profesional incompleta,Educación profesional completa,3 a 4,No,Si,Si,Si,302,51,69,57,61,70.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO,VALLE,Estrato 2,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,7 a 8,No,No,Si,Si,288,61,58,59,56,48.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,ANTIOQUIA,Estrato 2,Primaria incompleta,Primaria incompleta,1 a 2,Si,Si,Si,Si,168,31,34,39,27,43.0
20224,M,URBANO,N,OFICIAL,UNICA,TÉCNICO,CAUCA,Estrato 1,Primaria incompleta,Secundaria (Bachillerato) completa,1 a 2,No,No,No,Si,209,37,49,42,41,37.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,VALLE,Estrato 1,Ninguno,Primaria incompleta,7 a 8,No,Si,No,No,262,54,54,52,48,58.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,SUCRE,Estrato 2,No sabe,No sabe,5 a 6,No,No,No,Si,298,59,67,57,57,56.0
20224,F,URBANO,N,OFICIAL,TARDE,TÉCNICO,VALLE,Estrato 3,Técnica o tecnológica completa,Primaria completa,3 a 4,No,No,Si,Si,224,52,45,37,40,60.0
20224,F,URBANO,N,OFICIAL,SABATINA,ACADÉMICO,ANTIOQUIA,Estrato 1,Primaria incompleta,Ninguno,7 a 8,No,No,Si,Si,153,19,33,35,35,32.0
20224,M,RURAL,N,OFICIAL,UNICA,TÉCNICO,CAUCA,Estrato 3,Secundaria (Bachillerato) incompleta,Primaria incompleta,5 a 6,No,No,Si,No,197,38,40,40,38,44.0
20224,F,RURAL,N,OFICIAL,UNICA,TÉCNICO,RISARALDA,Estrato 2,Técnica o tecnológica completa,Educación profesional completa,3 a 4,Si,Si,Si,Si,238,44,53,44,46,57.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CALDAS,Estrato 2,Primaria incompleta,Técnica o tecnológica completa,5 a 6,No,Si,Si,Si,282,63,56,50,56,57.0
20224,F,RURAL,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,ANTIOQUIA,Estrato 2,Primaria incompleta,Primaria incompleta,5 a 6,No,No,No,Si,220,47,50,34,46,42.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,VALLE,Estrato 2,Primaria completa,Técnica o tecnológica completa,1 a 2,No,Si,Si,No,281,60,63,56,45,58.0
20224,M,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,ATLANTICO,Estrato 3,Educación profesional incompleta,Postgrado,3 a 4,Si,Si,No,Si,315,66,61,65,56,75.0
20224,F,URBANO,N,NO OFICIAL,TARDE,TÉCNICO/ACADÉMICO,VALLE,Estrato 2,Primaria completa,No sabe,7 a 8,No,No,No,Si,232,48,48,47,42,49.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,RISARALDA,Estrato 3,Secundaria (Bachillerato) completa,No sabe,1 a 2,No,Si,Si,Si,309,64,65,60,55,72.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,SANTANDER,Estrato 4,Primaria incompleta,Primaria incompleta,3 a 4,No,No,Si,Si,213,37,52,34,48,41.0
20224,M,RURAL,N,OFICIAL,TARDE,ACADÉMICO,SUCRE,Sin Estrato,Primaria incompleta,Primaria incompleta,5 a 6,Si,No,Si,Si,167,36,34,34,30,31.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,CESAR,Sin Estrato,Secundaria (Bachillerato) incompleta,No sabe,7 a 8,No,No,No,Si,261,54,55,49,54,43.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,NORTE SANTANDER,Estrato 3,Técnica o tecnológica incompleta,Primaria incompleta,3 a 4,No,No,Si,Si,289,58,60,57,60,47.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO,MAGDALENA,Estrato 1,Primaria completa,No sabe,5 a 6,Si,No,No,No,225,36,51,44,50,41.0
20224,F,URBANO,N,OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 2,Primaria completa,Primaria completa,3 a 4,No,No,No,No,194,36,45,38,39,30.0
20224,M,RURAL,N,OFICIAL,COMPLETA,ACADÉMICO,HUILA,Estrato 2,Ninguno,Ninguno,5 a 6,No,Si,Si,Si,182,38,43,33,33,31.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,ARAUCA,Estrato 2,Secundaria (Bachillerato) incompleta,Primaria completa,3 a 4,No,No,Si,Si,275,51,58,53,60,49.0
20224,M,RURAL,N,OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 2,Técnica o tecnológica incompleta,Primaria completa,3 a 4,No,No,Si,Si,280,64,57,52,58,36.0
20224,F,RURAL,N,OFICIAL,SABATINA,TÉCNICO,TOLIMA,Estrato 1,Ninguno,Primaria completa,1 a 2,No,Si,Si,Si,191,36,39,40,39,34.0
20224,F,RURAL,N,OFICIAL,UNICA,TÉCNICO,TOLIMA,Estrato 1,Primaria incompleta,Primaria completa,7 a 8,No,No,No,No,219,47,43,47,39,41.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,TOLIMA,Estrato 3,Educación profesional completa,No sabe,1 a 2,No,Si,Si,Si,253,47,57,50,49,50.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,ANTIOQUIA,Estrato 3,Secundaria (Bachillerato) completa,No sabe,3 a 4,No,Si,Si,Si,323,68,65,62,61,72.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,QUINDIO,Estrato 1,Técnica o tecnológica incompleta,Técnica o tecnológica incompleta,3 a 4,No,No,Si,Si,257,57,54,49,46,51.0
20224,M,URBANO,S,NO OFICIAL,COMPLETA,ACADÉMICO,BOGOTÁ,Estrato 5,Postgrado,Postgrado,3 a 4,Si,Si,Si,Si,335,63,67,68,69,70.0
20224,F,URBANO,N,OFICIAL,NOCHE,ACADÉMICO,MAGDALENA,Estrato 1,Primaria incompleta,Ninguno,7 a 8,No,No,No,Si,243,50,49,46,53,37.0
20224,F,RURAL,N,OFICIAL,MAÑANA,ACADÉMICO,CORDOBA,Estrato 1,Técnica o tecnológica completa,Primaria incompleta,3 a 4,No,Si,No,No,259,47,55,48,57,52.0
20224,F,URBANO,N,OFICIAL,TARDE,TÉCNICO/ACADÉMICO,ARAUCA,Estrato 1,Primaria completa,Primaria completa,3 a 4,No,No,No,Si,210,47,46,45,30,42.0
20224,F,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,NARIÑO,Estrato 3,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,3 a 4,No,Si,Si,Si,272,59,60,46,55,48.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,VALLE,Estrato 2,Primaria incompleta,No sabe,3 a 4,No,No,Si,Si,266,53,61,47,53,50.0
20224,F,URBANO,N,OFICIAL,NOCHE,ACADÉMICO,BOGOTÁ,Estrato 2,Primaria completa,Ninguno,3 a 4,No,Si,Si,Si,192,30,42,39,44,35.0
20224,F,URBANO,N,NO OFICIAL,TARDE,ACADÉMICO,ANTIOQUIA,Estrato 2,Secundaria (Bachillerato) incompleta,Educación profesional completa,1 a 2,No,No,Si,Si,192,28,50,43,35,32.0
20224,F,RURAL,N,OFICIAL,MAÑANA,TÉCNICO,SUCRE,Estrato 3,Primaria incompleta,Primaria incompleta,3 a 4,No,No,No,No,243,45,56,48,47,43.0
20224,M,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,CHOCO,Estrato 1,Ninguno,Ninguno,5 a 6,No,No,No,No,199,44,37,40,40,34.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,CORDOBA,Estrato 1,No sabe,No sabe,7 a 8,No,No,Si,Si,362,75,69,75,69,76.0
20224,F,URBANO,N,OFICIAL,TARDE,TÉCNICO/ACADÉMICO,TOLIMA,Estrato 2,Educación profesional completa,Educación profesional completa,7 a 8,Si,Si,Si,Si,343,71,74,62,69,64.0
20224,M,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,VALLE,Estrato 1,Primaria completa,Primaria incompleta,3 a 4,No,No,Si,Si,263,51,63,44,59,34.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CORDOBA,Estrato 2,Técnica o tecnológica completa,Técnica o tecnológica incompleta,3 a 4,No,No,Si,Si,227,45,49,49,37,50.0
20224,F,URBANO,N,OFICIAL,SABATINA,TÉCNICO/ACADÉMICO,CASANARE,Estrato 2,Primaria completa,No sabe,1 a 2,No,Si,Si,No,238,45,50,50,43,56.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CORDOBA,Estrato 1,Primaria incompleta,Secundaria (Bachillerato) completa,7 a 8,No,No,Si,Si,228,52,53,45,34,42.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,HUILA,Estrato 3,Técnica o tecnológica completa,Primaria incompleta,3 a 4,No,Si,Si,Si,275,51,60,51,59,53.0
20224,M,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,CASANARE,Estrato 3,Primaria completa,Primaria completa,5 a 6,Si,Si,No,Si,277,59,57,54,54,49.0
20224,F,RURAL,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,RISARALDA,Estrato 1,Postgrado,Secundaria (Bachillerato) incompleta,5 a 6,No,Si,Si,Si,246,45,54,48,52,43.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO/ACADÉMICO,SANTANDER,Estrato 2,Primaria incompleta,Primaria incompleta,3 a 4,No,No,Si,No,258,54,57,47,52,42.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,CALDAS,Estrato 2,Primaria incompleta,Primaria incompleta,3 a 4,No,No,Si,Si,196,38,36,41,45,30.0
20224,F,URBANO,N,OFICIAL,TARDE,TÉCNICO/ACADÉMICO,ANTIOQUIA,Estrato 1,Secundaria (Bachillerato) incompleta,Primaria incompleta,3 a 4,No,Si,Si,Si,278,56,67,51,50,50.0
20224,F,URBANO,N,OFICIAL,UNICA,TÉCNICO,CHOCO,Estrato 6,Educación profesional completa,Educación profesional completa,5 a 6,No,Si,No,Si,168,33,37,30,35,32.0
20224,M,URBANO,N,OFICIAL,UNICA,ACADÉMICO,MAGDALENA,Estrato 1,Educación profesional completa,No sabe,7 a 8,No,Si,Si,No,321,63,70,64,60,64.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 5,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,1 a 2,Si,Si,Si,Si,250,57,50,48,38,71.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,CESAR,Estrato 2,Técnica o tecnológica completa,Ninguno,5 a 6,No,Si,No,Si,242,53,51,44,45,50.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,CAUCA,Estrato 1,Postgrado,Primaria incompleta,3 a 4,No,No,Si,Si,318,70,60,65,61,58.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,RISARALDA,Estrato 1,Primaria completa,Primaria completa,3 a 4,Si,No,Si,Si,213,33,48,42,50,34.0
20224,F,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,ANTIOQUIA,Estrato 2,Primaria completa,Secundaria (Bachillerato) completa,5 a 6,No,No,Si,Si,244,49,59,44,45,43.0
20224,F,URBANO,N,NO OFICIAL,COMPLETA,ACADÉMICO,BOGOTÁ,Estrato 4,Postgrado,Postgrado,3 a 4,No,Si,Si,Si,328,61,68,65,64,78.0
20224,M,URBANO,N,NO OFICIAL,SABATINA,ACADÉMICO,ANTIOQUIA,Estrato 2,Ninguno,Ninguno,5 a 6,No,Si,No,Si,227,52,46,36,44,55.0
20224,F,URBANO,S,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,CHOCO,Estrato 1,Ninguno,Primaria incompleta,9 o más,No,No,No,No,253,47,50,52,54,50.0
20224,F,URBANO,N,OFICIAL,TARDE,ACADÉMICO,CORDOBA,Estrato 1,Primaria incompleta,Secundaria (Bachillerato) completa,5 a 6,No,No,No,Si,223,46,47,45,42,40.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,ACADÉMICO,ATLANTICO,Estrato 1,Secundaria (Bachillerato) completa,Primaria incompleta,5 a 6,Si,No,Si,Si,284,58,62,53,52,64.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,HUILA,Estrato 5,No sabe,No sabe,1 a 2,Si,No,Si,Si,176,39,36,35,29,41.0
20224,M,URBANO,N,OFICIAL,MAÑANA,TÉCNICO/ACADÉMICO,CHOCO,Estrato 2,Primaria completa,Primaria completa,9 o más,No,No,No,No,227,50,48,43,39,50.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,BOYACA,Estrato 1,Secundaria (Bachillerato) completa,Técnica o tecnológica incompleta,9 o más,No,Si,Si,Si,298,75,54,50,60,59.0
20224,F,RURAL,N,NO OFICIAL,COMPLETA,ACADÉMICO,ANTIOQUIA,Estrato 3,Postgrado,Educación profesional completa,3 a 4,Si,Si,Si,Si,276,57,60,57,45,61.0
20224,M,URBANO,N,OFICIAL,MAÑANA,ACADÉMICO,SUCRE,Estrato 1,Secundaria (Bachillerato) incompleta,Primaria completa,1 a 2,No,No,No,Si,165,30,37,31,32,38.0
20224,F,URBANO,N,OFICIAL,MAÑANA,TÉCNICO,ANTIOQUIA,Estrato 1,Educación profesional completa,Secundaria (Bachillerato) completa,3 a 4,No,No,Si,Si,315,53,73,54,69,71.0
20224,F,URBANO,N,OFICIAL,NOCHE,TÉCNICO/ACADÉMICO,ANTIOQUIA,Estrato 1,Primaria incompleta,Primaria incompleta,5 a 6,No,No,Si,Si,308,58,66,61,61,62.0
20224,M,URBANO,N,NO OFICIAL,MAÑANA,TÉCNICO,VALLE,Estrato 2,Primaria completa,Secundaria (Bachillerato) incompleta,3 a 4,No,No,Si,Si,218,47,54,36,36,48.0
20224,F,URBANO,N,NO OFICIAL,MAÑANA,TÉCNICO,VALLE,Estrato 3,Educación profesional incompleta,No sabe,3 a 4,Si,No,Si,Si,251,51,57,43,49,53.0
